"title";"value";"select.name"
"10K";"10K";"portal.icon.select"
"10Mp";"10Mp";"portal.icon.select"
"11Mp";"11Mp";"portal.icon.select"
123;123;"portal.icon.select"
"12Mp";"12Mp";"portal.icon.select"
"13Mp";"13Mp";"portal.icon.select"
"14Mp";"14Mp";"portal.icon.select"
"15Mp";"15Mp";"portal.icon.select"
"16Mp";"16Mp";"portal.icon.select"
"17Mp";"17Mp";"portal.icon.select"
"18Mp";"18Mp";"portal.icon.select"
"18 Up Rating";"18UpRating";"portal.icon.select"
"19Mp";"19Mp";"portal.icon.select"
"1K";"1K";"portal.icon.select"
"1k Plus";"1kPlus";"portal.icon.select"
"1x Mobiledata";"1xMobiledata";"portal.icon.select"
"20Mp";"20Mp";"portal.icon.select"
"21Mp";"21Mp";"portal.icon.select"
"22Mp";"22Mp";"portal.icon.select"
"23Mp";"23Mp";"portal.icon.select"
"24Mp";"24Mp";"portal.icon.select"
"2K";"2K";"portal.icon.select"
"2Mp";"2Mp";"portal.icon.select"
"2k Plus";"2kPlus";"portal.icon.select"
"30 Fps";"30Fps";"portal.icon.select"
"30 Fps Select";"30FpsSelect";"portal.icon.select"
360;360;"portal.icon.select"
"3K";"3K";"portal.icon.select"
"3Mp";"3Mp";"portal.icon.select"
"3P";"3P";"portal.icon.select"
"3d Rotation";"3dRotation";"portal.icon.select"
"3g Mobiledata";"3gMobiledata";"portal.icon.select"
"3k Plus";"3kPlus";"portal.icon.select"
"4K";"4K";"portal.icon.select"
"4Mp";"4Mp";"portal.icon.select"
"4g Mobiledata";"4gMobiledata";"portal.icon.select"
"4g Plus Mobiledata";"4gPlusMobiledata";"portal.icon.select"
"4k Plus";"4kPlus";"portal.icon.select"
"5G";"5G";"portal.icon.select"
"5K";"5K";"portal.icon.select"
"5Mp";"5Mp";"portal.icon.select"
"5k Plus";"5kPlus";"portal.icon.select"
"60 Fps";"60Fps";"portal.icon.select"
"60 Fps Select";"60FpsSelect";"portal.icon.select"
"6 Ft Apart";"6FtApart";"portal.icon.select"
"6K";"6K";"portal.icon.select"
"6Mp";"6Mp";"portal.icon.select"
"6k Plus";"6kPlus";"portal.icon.select"
"7K";"7K";"portal.icon.select"
"7Mp";"7Mp";"portal.icon.select"
"7k Plus";"7kPlus";"portal.icon.select"
"8K";"8K";"portal.icon.select"
"8Mp";"8Mp";"portal.icon.select"
"8k Plus";"8kPlus";"portal.icon.select"
"9K";"9K";"portal.icon.select"
"9Mp";"9Mp";"portal.icon.select"
"9k Plus";"9kPlus";"portal.icon.select"
"Abc";"Abc";"portal.icon.select"
"Ac Unit";"AcUnit";"portal.icon.select"
"Access Alarm";"AccessAlarm";"portal.icon.select"
"Access Alarms";"AccessAlarms";"portal.icon.select"
"Access Time";"AccessTime";"portal.icon.select"
"Access Time Filled";"AccessTimeFilled";"portal.icon.select"
"Accessibility";"Accessibility";"portal.icon.select"
"Accessibility New";"AccessibilityNew";"portal.icon.select"
"Accessible";"Accessible";"portal.icon.select"
"Accessible Forward";"AccessibleForward";"portal.icon.select"
"Account Balance";"AccountBalance";"portal.icon.select"
"Account Balance Wallet";"AccountBalanceWallet";"portal.icon.select"
"Account Box";"AccountBox";"portal.icon.select"
"Account Circle";"AccountCircle";"portal.icon.select"
"Account Tree";"AccountTree";"portal.icon.select"
"Ad Units";"AdUnits";"portal.icon.select"
"Adb";"Adb";"portal.icon.select"
"Add";"Add";"portal.icon.select"
"Add A Photo";"AddAPhoto";"portal.icon.select"
"Add Alarm";"AddAlarm";"portal.icon.select"
"Add Alert";"AddAlert";"portal.icon.select"
"Add Box";"AddBox";"portal.icon.select"
"Add Business";"AddBusiness";"portal.icon.select"
"Add Call";"AddCall";"portal.icon.select"
"Add Card";"AddCard";"portal.icon.select"
"Add Chart";"AddChart";"portal.icon.select"
"Add Circle";"AddCircle";"portal.icon.select"
"Add Circle Outline";"AddCircleOutline";"portal.icon.select"
"Add Comment";"AddComment";"portal.icon.select"
"Add Home";"AddHome";"portal.icon.select"
"Add Home Work";"AddHomeWork";"portal.icon.select"
"Add Ic Call";"AddIcCall";"portal.icon.select"
"Add Link";"AddLink";"portal.icon.select"
"Add Location";"AddLocation";"portal.icon.select"
"Add Location Alt";"AddLocationAlt";"portal.icon.select"
"Add Moderator";"AddModerator";"portal.icon.select"
"Add Photo Alternate";"AddPhotoAlternate";"portal.icon.select"
"Add Reaction";"AddReaction";"portal.icon.select"
"Add Road";"AddRoad";"portal.icon.select"
